Wavelength 1,Absolute Irradiance 1,Wavelength 2,Absolute Irradiance 2,Wavelength 3,Absolute Irradiance 3
194.505,0,194.505,0,194.505,0
194.77,0,194.77,0,194.77,0
195.035,0,195.035,0,195.035,0
195.3,0,195.3,0,195.3,0
195.565,0,195.565,0,195.565,0
195.83,0,195.83,0,195.83,0
196.095,0,196.095,0,196.095,0
196.36,0,196.36,0,196.36,0
196.625,0,196.625,0,196.625,0
196.889,0,196.889,0,196.889,0
197.154,0,197.154,0,197.154,0
197.419,0,197.419,0,197.419,0
197.684,0,197.684,0,197.684,0
197.948,0,197.948,0,197.948,0
198.213,0,198.213,0,198.213,0
198.478,0,198.478,0,198.478,0
198.743,0,198.743,0,198.743,0
199.007,0,199.007,0,199.007,0
199.272,0,199.272,0,199.272,0
199.536,0,199.536,0,199.536,0
199.801,0,199.801,0,199.801,0
200.066,0,200.066,0,200.066,0
200.33,0,200.33,0,200.33,0
200.595,0,200.595,0,200.595,0
200.859,0,200.859,0,200.859,0
201.124,0,201.124,0,201.124,0
201.388,0,201.388,0,201.388,0
201.653,0,201.653,0,201.653,0
201.917,0,201.917,0,201.917,0
202.182,0,202.182,0,202.182,0
202.446,0,202.446,0,202.446,0
202.71,0,202.71,0,202.71,0
202.975,0,202.975,0,202.975,0
203.239,0,203.239,0,203.239,0
203.504,0,203.504,0,203.504,0
203.768,0,203.768,0,203.768,0
204.032,0,204.032,0,204.032,0
204.296,0,204.296,0,204.296,0
204.561,0,204.561,0,204.561,0
204.825,0,204.825,0,204.825,0
205.089,0,205.089,0,205.089,0
205.353,0,205.353,0,205.353,0
205.618,0,205.618,0,205.618,0
205.882,0,205.882,0,205.882,0
206.146,0,206.146,0,206.146,0
206.41,0,206.41,0,206.41,0
206.674,0,206.674,0,206.674,0
206.938,0,206.938,0,206.938,0
207.202,0,207.202,0,207.202,0
207.466,0,207.466,0,207.466,0
207.73,0,207.73,0,207.73,0
207.995,0,207.995,0,207.995,0
208.259,0,208.259,0,208.259,0
208.523,0,208.523,0,208.523,0
208.786,0,208.786,0,208.786,0
209.05,0,209.05,0,209.05,0
209.314,0,209.314,0,209.314,0
209.578,0,209.578,0,209.578,0
209.842,0,209.842,0,209.842,0
210.106,0,210.106,0,210.106,0
210.37,0,210.37,0,210.37,0
210.634,0,210.634,0,210.634,0
210.898,0,210.898,0,210.898,0
211.161,0,211.161,0,211.161,0
211.425,0,211.425,0,211.425,0
211.689,0,211.689,0,211.689,0
211.953,0,211.953,0,211.953,0
212.216,0,212.216,0,212.216,0
212.48,0,212.48,0,212.48,0
212.744,0,212.744,0,212.744,0
213.007,0,213.007,0,213.007,0
213.271,0,213.271,0,213.271,0
213.535,0,213.535,0,213.535,0
213.798,0,213.798,0,213.798,0
214.062,0,214.062,0,214.062,0
214.326,0,214.326,0,214.326,0
214.589,0,214.589,0,214.589,0
214.853,0,214.853,0,214.853,0
215.116,0,215.116,0,215.116,0
215.38,0,215.38,0,215.38,0
215.643,0,215.643,0,215.643,0
215.907,0,215.907,0,215.907,0
216.17,0,216.17,0,216.17,0
216.433,0,216.433,0,216.433,0
216.697,0,216.697,0,216.697,0
216.96,0,216.96,0,216.96,0
217.224,0,217.224,0,217.224,0
217.487,0,217.487,0,217.487,0
217.75,0,217.75,0,217.75,0
218.014,0,218.014,0,218.014,0
218.277,0,218.277,0,218.277,0
218.54,0,218.54,0,218.54,0
218.803,0,218.803,0,218.803,0
219.067,0,219.067,0,219.067,0
219.33,0,219.33,0,219.33,0
219.593,0,219.593,0,219.593,0
219.856,0,219.856,0,219.856,0
220.119,0,220.119,0,220.119,0
220.383,0,220.383,0,220.383,0
220.646,0,220.646,0,220.646,0
220.909,0,220.909,0,220.909,0
221.172,0,221.172,0,221.172,0
221.435,0,221.435,0,221.435,0
221.698,0,221.698,0,221.698,0
221.961,0,221.961,0,221.961,0
222.224,0,222.224,0,222.224,0
222.487,0,222.487,0,222.487,0
222.75,0,222.75,0,222.75,0
223.013,0,223.013,0,223.013,0
223.276,0,223.276,0,223.276,0
223.539,0,223.539,0,223.539,0
223.802,0,223.802,0,223.802,0
224.065,0,224.065,0,224.065,0
224.327,0,224.327,0,224.327,0
224.59,0,224.59,0,224.59,0
224.853,0,224.853,0,224.853,0
225.116,0,225.116,0,225.116,0
225.379,0,225.379,0,225.379,0
225.642,0,225.642,0,225.642,0
225.904,0,225.904,0,225.904,0
226.167,0,226.167,0,226.167,0
226.43,0,226.43,0,226.43,0
226.692,0,226.692,0,226.692,0
226.955,0,226.955,0,226.955,0
227.218,0,227.218,0,227.218,0
227.48,0,227.48,0,227.48,0
227.743,0,227.743,0,227.743,0
228.006,0,228.006,0,228.006,0
228.268,0,228.268,0,228.268,0
228.531,0,228.531,0,228.531,0
228.793,0,228.793,0,228.793,0
229.056,0,229.056,0,229.056,0
229.318,0,229.318,0,229.318,0
229.581,0,229.581,0,229.581,0
229.843,0,229.843,0,229.843,0
230.106,0,230.106,0,230.106,0
230.368,0,230.368,0,230.368,0
230.631,0,230.631,0,230.631,0
230.893,0,230.893,0,230.893,0
231.155,0,231.155,0,231.155,0
231.418,0,231.418,0,231.418,0
231.68,0,231.68,0,231.68,0
231.942,0,231.942,0,231.942,0
232.205,0,232.205,0,232.205,0
232.467,0,232.467,0,232.467,0
232.729,0,232.729,0,232.729,0
232.992,0,232.992,0,232.992,0
233.254,0,233.254,0,233.254,0
233.516,0,233.516,0,233.516,0
233.778,0,233.778,0,233.778,0
234.04,0,234.04,0,234.04,0
234.302,0,234.302,0,234.302,0
234.565,0,234.565,0,234.565,0
234.827,0,234.827,0,234.827,0
235.089,0,235.089,0,235.089,0
235.351,0,235.351,0,235.351,0
235.613,0,235.613,0,235.613,0
235.875,0,235.875,0,235.875,0
236.137,0,236.137,0,236.137,0
236.399,0,236.399,0,236.399,0
236.661,0,236.661,0,236.661,0
236.923,0,236.923,0,236.923,0
237.185,0,237.185,0,237.185,0
237.447,0,237.447,0,237.447,0
237.709,0,237.709,0,237.709,0
237.971,0,237.971,0,237.971,0
238.233,0,238.233,0,238.233,0
238.494,0,238.494,0,238.494,0
238.756,0,238.756,0,238.756,0
239.018,0,239.018,0,239.018,0
239.28,0,239.28,0,239.28,0
239.542,0,239.542,0,239.542,0
239.803,0,239.803,0,239.803,0
240.065,0,240.065,0,240.065,0
240.327,0,240.327,0,240.327,0
240.589,0,240.589,0,240.589,0
240.85,0,240.85,0,240.85,0
241.112,0,241.112,0,241.112,0
241.374,0,241.374,0,241.374,0
241.635,0,241.635,0,241.635,0
241.897,0,241.897,0,241.897,0
242.158,0,242.158,0,242.158,0
242.42,0,242.42,0,242.42,0
242.681,0,242.681,0,242.681,0
242.943,0,242.943,0,242.943,0
243.205,0,243.205,0,243.205,0
243.466,0,243.466,0,243.466,0
243.727,0,243.727,0,243.727,0
243.989,0,243.989,0,243.989,0
244.25,0,244.25,0,244.25,0
244.512,0,244.512,0,244.512,0
244.773,0,244.773,0,244.773,0
245.035,0,245.035,0,245.035,0
245.296,0,245.296,0,245.296,0
245.557,0,245.557,0,245.557,0
245.819,0,245.819,0,245.819,0
246.08,0,246.08,0,246.08,0
246.341,0,246.341,0,246.341,0
246.603,0,246.603,0,246.603,0
246.864,0,246.864,0,246.864,0
247.125,0,247.125,0,247.125,0
247.386,0,247.386,0,247.386,0
247.647,0,247.647,0,247.647,0
247.909,0,247.909,0,247.909,0
248.17,0,248.17,0,248.17,0
248.431,0,248.431,0,248.431,0
248.692,0,248.692,0,248.692,0
248.953,0,248.953,0,248.953,0
249.214,0,249.214,0,249.214,0
