Wavelength 1,Absolute Irradiance 1
194.505,0
194.77,0
195.035,0
195.3,0
195.565,0
195.83,0
196.095,0
196.36,0
196.625,0
196.889,0
197.154,0
197.419,0
197.684,0
197.948,0
198.213,0
198.478,0
198.743,0
199.007,0
199.272,0
199.536,0
199.801,0
200.066,0
200.33,0
200.595,0
200.859,0
201.124,0
201.388,0
201.653,0
201.917,0
202.182,0
202.446,0
202.71,0
202.975,0
203.239,0
203.504,0
203.768,0
204.032,0
204.296,0
204.561,0
204.825,0
205.089,0
205.353,0
205.618,0
205.882,0
206.146,0
206.41,0
206.674,0
206.938,0
207.202,0
207.466,0
207.73,0
207.995,0
208.259,0
208.523,0
208.786,0
209.05,0
209.314,0
209.578,0
209.842,0
210.106,0
210.37,0
210.634,0
210.898,0
211.161,0
211.425,0
211.689,0
211.953,0
212.216,0
212.48,0
212.744,0
213.007,0
213.271,0
213.535,0
213.798,0
214.062,0
214.326,0
214.589,0
214.853,0
215.116,0
215.38,0
215.643,0
215.907,0
216.17,0
216.433,0
216.697,0
216.96,0
217.224,0
217.487,0
217.75,0
218.014,0
218.277,0
218.54,0
218.803,0
219.067,0
219.33,0
219.593,0
219.856,0
220.119,0
220.383,0
220.646,0
220.909,0
221.172,0
221.435,0
221.698,0
221.961,0
222.224,0
222.487,0
222.75,0
223.013,0
223.276,0
223.539,0
223.802,0
224.065,0
224.327,0
224.59,0
224.853,0
225.116,0
225.379,0
225.642,0
225.904,0
226.167,0
226.43,0
226.692,0
226.955,0
227.218,0
227.48,0
227.743,0
228.006,0
228.268,0
228.531,0
228.793,0
229.056,0
229.318,0
229.581,0
229.843,0
230.106,0
230.368,0
230.631,0
230.893,0
231.155,0
231.418,0
231.68,0
231.942,0
232.205,0
232.467,0
232.729,0
232.992,0
233.254,0
233.516,0
233.778,0
234.04,0
234.302,0
234.565,0
234.827,0
235.089,0
235.351,0
235.613,0
235.875,0
236.137,0
236.399,0
236.661,0
236.923,0
237.185,0
237.447,0
237.709,0
237.971,0
238.233,0
238.494,0
238.756,0
239.018,0
239.28,0
239.542,0
239.803,0
240.065,0
240.327,0
240.589,0
240.85,0
241.112,0
241.374,0
241.635,0
241.897,0
242.158,0
242.42,0
242.681,0
242.943,0
243.205,0
243.466,0
243.727,0
243.989,0
244.25,0
244.512,0
244.773,0
245.035,0
245.296,0
245.557,0
245.819,0
246.08,0
246.341,0
246.603,0
246.864,0
247.125,0
247.386,0
247.647,0
247.909,0
248.17,0
248.431,0
248.692,0
248.953,0
249.214,0
249.475,0
249.736,0
249.997,0
250.258,0
250.519,0
250.78,0
251.041,0
251.302,0
251.563,0
251.824,0
252.085,0
252.346,0
252.607,0
252.867,0
253.128,0
253.389,0
253.65,0
253.911,0
254.171,0
254.432,0
254.693,0
254.953,0
255.214,0
255.475,0
255.735,0
255.996,0
256.256,0
256.517,0
256.778,0
257.038,0
257.299,0
257.559,0
257.82,0
258.08,0
258.34,0
258.601,0
258.861,0
259.122,0
259.382,0
259.642,0
259.903,0
260.163,0
260.423,0
260.683,0
260.944,0
261.204,0
261.464,0
261.724,0
261.984,0
262.245,0
262.505,0
262.765,0
263.025,0
263.285,0
263.545,0
263.805,0
264.065,0
264.325,0
264.585,0
264.845,0
265.105,0
265.365,0
265.625,0
265.885,0
266.145,0
266.404,0
266.664,0
266.924,0
267.184,0
267.444,0
267.703,0
267.963,0
268.223,0
268.483,0
268.742,0
269.002,0
269.262,0
269.521,0
269.781,0
270.04,0
270.3,0
270.56,0
270.819,0
271.079,0
271.338,0
271.598,0
271.857,0
272.116,0
272.376,0
272.635,0
272.895,0
273.154,0
273.413,0
273.673,0
273.932,0
274.191,0
274.451,0
274.71,0
274.969,0
275.228,0
275.487,0
275.747,0
276.006,0
276.265,0
276.524,0
276.783,0
277.042,0
277.301,0
277.56,0
277.819,0
278.078,0
278.337,0
278.596,0
278.855,0
279.114,0
279.373,0
279.632,0
279.891,0
280.15,0
280.409,0
280.667,0
280.926,0
281.185,0
281.444,0
281.703,0
281.961,0
282.22,0
282.479,0
282.737,0
282.996,0
283.255,0
283.513,0
283.772,0
284.03,0
284.289,0
284.547,0
284.806,0
285.065,0
285.323,0
285.581,0
285.84,0
286.098,0
286.357,0
286.615,0
286.873,0
287.132,0
287.39,0
287.649,0
287.907,0
288.165,0
288.423,0
288.682,0
288.94,0
289.198,0
289.456,0
289.714,0
289.972,0
290.231,0
290.489,0
290.747,0
291.005,0
291.263,0
291.521,0
291.779,0
292.037,0
292.295,0
292.553,0
292.811,0
293.069,0
293.327,0
293.585,0
293.842,0
294.1,0
294.358,0
294.616,0
294.874,0
295.131,0
295.389,0
295.647,0
295.905,0
296.162,0
296.42,0
296.678,0
296.935,0
297.193,0
297.451,0
297.708,0
297.966,0
298.223,0
298.481,0
298.738,0
298.996,0
299.253,0
299.511,0
299.768,0
300.026,0
300.283,0
300.54,0
300.798,0
301.055,0
301.312,0
301.57,0
301.827,0
302.084,0
302.342,0
302.599,0
302.856,0
303.113,0
303.37,0
303.627,0
303.885,0
304.142,0
304.399,0
304.656,0
304.913,0
305.17,0
305.427,0
305.684,0
305.941,0
306.198,0
306.455,0
306.712,0
306.969,0
307.226,0
307.483,0
307.739,0
307.996,0
308.253,0
308.51,0
308.767,0
309.023,0
309.28,0
309.537,0
309.794,0
310.05,0
310.307,0
310.564,0
310.82,0
311.077,0
311.333,0
311.59,0
311.847,0
312.103,0
312.36,0
312.616,0
312.873,0
313.129,0
313.385,0
313.642,0
313.898,0
314.155,0
