Designator,Component ,Number,Cost per unit -currency,"Total cost -
currency",Source of materials,Material type
N/A,1.5L Glass Jar,1,3.50 CAD,3.50CAD,General Store,"Glass, Other"
N/A,O2 Sensor,1,310.99 USD,310.99USD,https://atlas-scientific.com/kits/dissolved-oxygen-kit/,Other
N/A,PH Sensor,1,250 USD,250USD,https://www.hannainst.com/hi1093b-ph-electrode-with-micro-bulb-and-extended-length.html,Other
N/A,Thermocouple,1,88.71 CAD,88.71CAD,https://www.mcmaster.com/1245N18/,"Metal, Polymer"
N/A,DC Motor,1,60.66 CAD,60.66 CAD,https://ca.robotshop.com/products/42mm-dc-planetary-gear-motor-12v-1100-rpm,Other
N/A,Aluminum Shaft Coupler,1,1.65CAD,1.65CAD,https://www.amazon.ca/Fafeicy-Coupling-Flexible-Couplings-Connector/dp/B09CM7KXNJ/ref=sr_1_5?crid=2ZA0K04B4DL6V&keywords=5mm+to+8mm+rigid+coupler&qid=1659559851&s=industrial&sprefix=5mm+to+8mm+rigid+coupler%2Cindustrial%2C68&sr=1-5,Metal
N/A,8mm Linear Steel Rod,1,12.99CAD,12.99CAD,https://www.amazon.ca/200mm-Linear-Motion-Shaft-Machine/dp/B08XYQW6DH/ref=sr_1_5?crid=1F4Y5BRKXQR6T&keywords=8mm+rod+200mm&qid=1659559390&s=industrial&sprefix=8mm+rod+200mm%2Cindustrial%2C63&sr=1-5,Metal
N/A,8mm ID Shielded Bearing,1,2.57 CAD,2.57CAD,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1178/5356858,Metal
O2Mount,3D printed PLA O2 Sensor Mount (8.19g),1,0.25 CAD,0.25 CAD,N/A,Polymer
PHMount,3D printed PLA PH Sensor Mount (2.44g),1,0.07 CAD,0.07 CAD,N/A,Polymer
ThermocoupleMount,3D printed PLA Thermocouple Mount (9.88g),1,0.30 CAD,0.30 CAD,N/A,Polymer
MotorMount,3D printed PLA Motor Mount (20.26g),1,0.61 CAD,0.61 CAD,N/A,Polymer
Impeller,3D printed PLA Impeller (11.48g),1,0.34 CAD,0.34 CAD,N/A,Polymer
N/A,3D printed Lid Machining Stencil (9.17g),1,0.28 CAD,0.28 CAD,N/A,Polymer
N/A,3D printed pump stand top (88.36g),1,2.65 CAD,2.65 CAD,N/A,Polymer
N/A,3D printed pump stand side (15.21g),2,0.46 CAD,0.91 CAD,N/A,Polymer
N/A,Stone Sparger,1,0.83 CAD,0.83 CAD,https://www.amazon.ca/dp/B075QCWGZQ/ref=sspa_dk_detail_0?pd_rd_i=B075QCWGZQ&pd_rd_w=8PhCF&content-id=amzn1.sym.88a70737-8341-4e83-b43f-2849bf84234d&pf_rd_p=88a70737-8341-4e83-b43f-2849bf84234d&pf_rd_r=9YXZX2RWWXYDR5MXVFTK&pd_rd_wg=76RIf&pd_rd_r=e6b8ca83-4a40-46f0-8f20-acfcdfea4108&s=pet-supplies&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzSDhENzFESVVCWldIJmVuY3J5cHRlZElkPUEwOTYwMDE2MVVMWVBHSzZKUk9RUCZlbmNyeXB0ZWRBZElkPUEwODg5Mzg4MVYzTjhOUTVEMVBIOCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU&th=1,Other
N/A,Peristaltic Pump,3,12.00 CAD,36.00 CAD,https://www.amazon.ca/Kamoer-Peristaltic-Hydroponics-Nutrient-Analytical/dp/B07GWJ78FN/ref=d_pd_sbs_sccl_3_5/134-7485233-4487145?pd_rd_w=Zyso3&content-id=amzn1.sym.b35f7e0d-2e69-4a5a-a19e-76ee06774581&pf_rd_p=b35f7e0d-2e69-4a5a-a19e-76ee06774581&pf_rd_r=0WKRZ4GZ1WC9N20P5XXQ&pd_rd_wg=uz0Gf&pd_rd_r=668a1e15-6fe8-4814-b96d-ddb5f3e93bb3&pd_rd_i=B07GWJ78FN&psc=1,Other
N/A,Air Pump Kit,1,43.08 CAD,43.08 CAD,https://www.amazon.ca/Uniclife-Aquarium-Adjustable-Single-Accessories/dp/B06XS1DCG6/ref=sr_1_3?crid=2H2IULEAB3Z4I&keywords=uniclife+air+pump&qid=1659558758&sprefix=uniclife+air+pump%2Caps%2C71&sr=8-3,Other
N/A,"2 meter, 2mm ID Silicone Tubing",2,9.99CAD,19.98CAD,https://www.amazon.ca/Uxcell-a15121600ux1002-Translucent-Tube-Water/dp/B01AUQ3JBK/ref=sr_1_15?crid=1DJPAHKN2CEGW&keywords=silicone+tubing+2mm+id&qid=1655407895&sprefix=silicone+tubing+2mm+id%2Caps%2C78&sr=8-15,Polymer
N/A,"1 meter, 6mm ID Silicone Tubing",1,10.99CAD,10.99CAD,https://www.amazon.ca/Silicone-Flexible-Rubber-Tubing-Transparent/dp/B08GPD22ZC/ref=sr_1_5?crid=3O4IT19T3T337&keywords=6mm%2Bid%2Btubing&qid=1661198434&sprefix=6mm%2Bid%2Btubing%2Caps%2C100&sr=8-5&th=1,Polymer
N/A,"8-Feet, 4mm ID Silicone Tubing",1,2.97 CAD,2.97 CAD,https://www.amazon.ca/Penn-Plax-Standard-Airline-Tubing-Accessories/dp/B0002563MM/ref=pd_bxgy_img_sccl_1/134-7485233-4487145?pd_rd_w=KAevL&content-id=amzn1.sym.17b2b149-58e2-4824-ba79-851c5f351fdc&pf_rd_p=17b2b149-58e2-4824-ba79-851c5f351fdc&pf_rd_r=X06BHSX9Y5RJP4GSAX5Z&pd_rd_wg=ziEQY&pd_rd_r=de0a3054-e137-4026-8eee-3d198bc7a4dc&pd_rd_i=B0002563MM&psc=1,Polymer
